Satellite,NORAD ID,Pass ID,Generation,Timestamp (UTC),Doppler Shift (Hz),Elevation (deg),Azimuth (deg),Distance (km),TLE Age (hours)
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:07,-147061.05773515732,3.8189034953304404,201.19479581895501,2285.1584103589507,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:08,-147611.74026155195,3.7778830749942256,201.04397683785274,2288.974424834135,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:09,-148159.48377729073,3.736792645694817,200.89368144984869,2292.8046638990295,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:10,-148704.2968183718,3.6956334858324134,200.74390874682572,2296.6490515436794,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:11,-149246.18803010596,3.654406861790323,200.5946577997845,2300.507511981354,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:12,-149785.1661639288,3.613114027978027,200.4459276593424,2304.3799696489023,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:13,-150321.24007471313,3.571756226830564,200.297717356107,2308.26634921148,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:14,-150854.41871832652,3.5303346888198073,200.1500259009694,2312.166575566292,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:15,-151384.71114850917,3.4888506325024844,200.0028522856026,2316.0805738429403,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:16,-151912.12651408577,3.447305264545847,199.8561954828742,2320.008269406101,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:17,-152436.67405703408,3.4056997797086708,199.71005444701385,2323.9495878624625,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:18,-152958.3631082711,3.364035360979026,199.5644281144381,2327.904455052998,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:19,-153477.20308635518,3.3223131795189813,199.41931540374932,2331.8727970636382,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:20,-153993.20349485325,3.2805343946842,199.27471521613026,2335.8545402289437,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:21,-154506.37391916863,3.238700154128146,199.13062643587332,2339.8496111278587,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:22,-155016.72402390043,3.19681159382374,198.98704793079486,2343.8579365874234,286.7598810322222
STARLINK-3175,51140,0,unknown,2025-07-16T16:03:23,-155524.26355134178,3.154869838052917,198.84397855229878,2347.8794436896214,286.7598810322222
